No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
1,Preparation method of glycidol,"HAO JIAN 
SUN PENG 
TAN CHANGQING 
ZHU HU",SHANDONG GP NATURAL PRODUCTS CO LTD,CN106588820A,2016-12-31,"C07D301/26 
C07D301/32 
C07D303/14","C07D301/26 (CN) 
C07D301/32 (CN) 
C07D303/14 (CN)",2017-04-26,2017-04-26,58581854
2,PRODUCTION OF GLYCIDOL,,DEGUSSA,GB1377249A,1971-05-14,"C07D1/06 
C07D1/18 
C07D301/14",C07D301/14 (EP),1974-12-11,1972-09-01,5807848
3,GLYCIDOL PREPARATION,"ATKINS MARTIN [GB] 
COLEMAN FERGAL [GB] 
DELAVOUX YOAN [GB] 
HOLBREY JOHN [GB] 
SEDDON KENNETH [GB] 
TOLAND JENI [GB] 
YAN TING [GB]","ATKINS MARTIN [GB] 
COLEMAN FERGAL [GB] 
DELAVOUX YOAN [GB] 
HOLBREY JOHN [GB] 
SEDDON KENNETH [GB] 
TOLAND JENI [GB] 
UNIV BELFAST [GB] 
YAN TING [GB]",WO2015019108A1,2013-08-08,C07D301/02,C07D301/02 (EP),2015-02-12,2015-02-12,51352723
4,GLYCIDOL ISOLATION BY AZEOTROPIC DISTILLATION WITH A LOWER-BOILING ENTRAINER,MEDNICK SOL ABRAHAM,FMC CORP,US3655524A,1970-04-27,"B01D3/36 
C07D301/32",C07D301/32 (EP),1972-04-11,1971-09-16,21864050
5,PROCESS FOR PRODUCING GLYCIDOL,"NAMBA MASANORI [JP] 
SASA TOMOAKI [JP] 
SEKI YUICHIRO [JP] 
TAKEUCHI HIROKI [JP] 
UNO MITSURU [JP]",KAO CORP [JP],US2011015414A1,2009-07-15,C07D301/02,C07D301/02 (EP),2011-01-20,2011-01-11,43415623
6,GLYCIDYL ESTER REDUCTION IN OIL,"BLOOMER SCOTT [US] 
HOGAN PHIL [DE] 
LEE JOHN INMOK [US] 
MATLOCK MARK [US] 
SOLHEIM LEIF [US] 
WICKLUND LORIE [US]","ARCHER DANIELS MIDLAND CO [US] 
BLOOMER SCOTT [US] 
HOGAN PHIL [DE] 
LEE JOHN INMOK [US] 
MATLOCK MARK [US] 
SOLHEIM LEIF [US] 
WICKLUND LORIE [US]",WO2011069028A1,2009-12-04,A23D9/02,"C11B3/00 (EP,US) 
C11B3/003 (EP,US) 
C11B3/08 (US) 
C11B3/10 (EP) 
C11B3/14 (EP,US) 
C11C3/10 (EP)",2011-06-09,2011-06-09,44115305
7,"Enzymatic, enantioselective preparation of R-glycidol.","DUINE JOHANNIS ADRIAAN [NL] 
GEERLOF ARIE [NL]",DSM NV [NL],EP0464905A1,1990-06-25,"C12P17/02 
C12P41/00 
C12P17/02 
C12P41/00","C12P17/02 (EP) 
C12P41/002 (EP)",1992-01-08,1992-01-08,19857308
8,GLYCIDOL PRODUCT,"GROLL HERBERT P A 
HEARNE GEORGE",SHELL DEV,CA401019A,,,,1941-11-25,1941-11-25,35411465
9,PROCESS FOR PRODUCTION OF GLYCIDOL,"OKUTSU MUNEHISA [JP] 
UNO MITSURU [JP]","KAO CORP [JP] 
OKUTSU MUNEHISA [JP] 
UNO MITSURU [JP]",WO2007145278A1,2006-06-15,"C07D301/02 
C07D303/14",C07D301/02 (EP),2007-12-21,2007-12-21,38831792
10,PROCESS FOR PREPARING GLYCIDOL,,DAICEL LTD,GB1397659A,1972-12-27,"C07D301/32 
C07D303/14 
C07D301/14 
C07D301/32 
C07D303/14 
C07D303/16",C07D301/14 (EP),1975-06-18,1974-07-04,11503701
11,METHOD FOR PURIFYING GLYCIDOL,"MORISHITA TAKEHIRO 
NAITO SATOSHI",NOF CORP,JP2002284771A,2001-03-28,"C07D301/32 
C07D303/14 
C07D301/32 
C07D303/14",,2002-10-03,2002-10-03,18946507
12,METHOD FOR PRODUCING GLYCIDOL,"AHN BYOUNG SUNG [KR] 
CHOI JI SIK [KR] 
KIM CHANG SOO [KR] 
LEE HYUN JOO [KR] 
LEE SANG DEUK [KR]",KOREA INST SCI & TECH [KR],US2014135512A1,2012-11-14,C07D301/02,"C07D301/02 (EP,US)",2014-05-15,2014-05-15,50682316
13,Glycidol modified succinimides.,PLAVAC FRANK,CHEVRON RES [US],EP0183478A2,1984-11-21,"C10L1/22 
C10M133/16 
C10M133/56 
B01F17/32 
B01F17/38 
C07D207/412 
C07D207/452 
C08F8/00 
C10L1/22 
C10L1/224 
C10L1/2383 
C10L10/08 
C10L10/18 
C10M133/16 
C10M133/56 
C10M159/12 
C10N30/04 
C10N40/00 
C10N40/25 
C10N60/14","C08F8/02 (EP,US) 
C08F8/48 (EP,US) 
C10L1/224 (EP,US) 
C10L1/2383 (EP,US) 
C10M133/16 (EP,US) 
C10M133/56 (EP,US) 
C10M2215/04 (EP,US) 
C10M2215/042 (EP,US) 
C10M2215/22 (EP,US) 
C10M2215/221 (EP,US) 
C10M2215/225 (EP,US) 
C10M2215/226 (EP,US) 
C10M2215/26 (EP,US) 
C10M2215/30 (EP,US) 
C10M2217/046 (EP,US) 
C10M2217/06 (EP,US) 
C10M2227/061 (EP,US) 
C10N2040/25 (EP,US) 
C10N2040/251 (EP,US) 
C10N2040/255 (EP,US) 
C10N2040/28 (EP,US) 
C10N2070/02 (EP,US) 
C08F8/02, C08F8/32, C08F8/48, C08F8/32%2, C08F110/10, INV (EP,US)       
C08F8/02, C08F8/48, C08F8/32, C08F110/10, INV (EP,US)       
C08F8/48, C08F8/32, C08F110/10, INV (EP,US)      ",1986-06-04,1986-06-04,24704795
14,METHOD FOR PRODUCING OPTICALLY ACTIVE GLYCIDOL,"MIURA CHIE 
OTSUKA KOTARO 
UMESATO TOMOKO",NAGASE & CO LTD,JPH0884597A,1994-09-19,"C12P41/00 
C12P41/00 
C12R1/025 
C12R1/05 
C12R1/22 
C12R1/38 
C12R1/39 
C12R1/785 
C12R1/845",,1996-04-02,1996-04-02,16792150
